StockCode,Description,TotalSales,TotalRevenue,AvgUnitPrice,SalesFrequency,PCA1,PCA2,UMAP1,UMAP2,Cluster_KMeans,Cluster_Label,Marketing_Recommendation
10002,INFLATABLE POLITICAL GLOBE ,823,699.55,0.85,49,0.3924248039017081,-0.6202017519292403,1.6755403,1.4071157,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
10080,GROOVY CACTUS INFLATABLE,291,114.41,0.41190476190476194,21,-0.3499010555432519,-1.051594212381077,4.7971616,0.004629568,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
10120,DOGGY RUBBER,192,40.32,0.21,29,-0.5569620902850198,-1.2883602934305545,6.081531,0.39736143,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
10123C,HEARTS WRAPPING TAPE ,5,3.25,0.65,3,-2.206657935886822,-1.052681183675172,10.501661,1.5235106,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,0.42000000000000004,5,-1.7699113745288078,-1.1972319763461976,9.853255,0.9654466,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,0.42,4,-1.7906275626520693,-1.199232904577373,9.881614,0.94230896,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
10125,MINI FUNKY DESIGN TAPES,1225,929.45,0.7817460317460317,61,0.5829265745972003,-0.6474698142716877,0.3680985,0.71637297,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
10133,COLOURING PENCILS BROWN TUBE,2373,1138.99,0.5292622950819672,122,0.929668608874048,-0.8076171414668607,-0.5284157,-1.2142988,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
10135,COLOURING PENCILS BROWN TUBE,1936,1784.19,1.1968067226890755,117,0.9344579806170744,-0.36861437401256975,-0.99349064,4.3837633,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
11001,ASSTD DESIGN RACING CAR PEN,1252,1953.0,1.851875,62,0.6933871360636191,-0.07458626067040393,0.46306908,5.235037,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15030,FAN BLACK FRAME ,143,41.47,0.29,12,-0.8099623980767888,-1.22235551801161,6.224765,0.46278808,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15034,PAPER POCKET TRAVELING FAN ,6419,697.0600000000001,0.13692307692307693,91,0.9778796017249053,-1.228717588890454,-0.73949045,-1.5604489,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15036,ASSORTED COLOURS SILK FAN,21876,16044.44,0.8050153846153846,324,2.122488230370163,-0.4614234574486824,-3.4517305,-0.7232705,2,Mid Performer,"Promo ringan, loyalty program, cross-sell ke produk premium"
15039,SANDALWOOD FAN,1558,1132.3,0.8362857142857143,70,0.6984963880002603,-0.6050152398845944,0.18730462,0.6131976,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15044A,PINK PAPER PARASOL ,422,1230.5800000000002,3.017692307692308,78,0.40241377427688385,0.3054638813141216,2.0171452,6.4428487,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15044B,BLUE PAPER PARASOL ,307,865.6500000000001,2.9333333333333336,48,0.15782322351506312,0.2532281508858642,3.2468626,5.877434,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15044C,PURPLE PAPER PARASOL,271,779.45,2.943333333333334,60,0.16314857989529957,0.25712393480769813,3.1474826,5.926064,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15044D,RED PAPER PARASOL,629,1732.7900000000002,2.9615068493150685,73,0.5369167447965413,0.3022727450233722,1.4990401,6.4033866,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15056BL,EDWARDIAN PARASOL BLACK,2779,15218.67,5.8937113402061865,291,1.5373518350887019,1.0622713242458641,-0.069695525,9.832979,2,Mid Performer,"Promo ringan, loyalty program, cross-sell ke produk premium"
15056N,EDWARDIAN PARASOL NATURAL,3822,20672.91,5.864236842105263,378,1.7246463596014667,1.0777443976744185,-0.21956114,9.815672,2,Mid Performer,"Promo ringan, loyalty program, cross-sell ke produk premium"
15056P,EDWARDIAN PARASOL PINK,767,4242.26,5.941185185185185,135,0.8414613689231426,0.9915153581703879,2.3079011,9.348679,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15058A,BLUE POLKADOT GARDEN PARASOL,148,1104.6,7.8088235294117645,51,-0.009553388111246425,1.1737870910231463,4.8601346,8.869196,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15058B,PINK POLKADOT GARDEN PARASOL,115,866.25,7.8621951219512205,41,-0.1595488499921339,1.1640617371286106,5.245116,8.549675,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,894.35,6.35,30,-0.10509636837807726,0.9347367004286469,4.5816264,7.8437805,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
15060B,FAIRY CAKE DESIGN UMBRELLA,411,1482.87,3.820315789473684,95,0.46125331731257035,0.5235935638548919,2.754295,7.7843237,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,0.13614285714285712,70,0.6264700505486974,-1.2596177093954426,1.5969579,-1.2654098,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,0.12,3,-1.8354662106749629,-1.5407670378666454,10.190486,0.8157487,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16011,ANIMAL STICKERS,1749,367.29,0.21,46,0.4318384548727199,-1.1750076060363932,2.07584,-1.0916113,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16012,FOOD/DRINK SPONGE STICKERS,1220,256.2,0.21,35,0.22460063546893158,-1.1982558276653643,2.7495856,-0.9331268,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,0.4014814814814815,54,1.3616510228967702,-0.8759461963506392,-1.7880225,-1.1725023,2,Mid Performer,"Promo ringan, loyalty program, cross-sell ke produk premium"
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98,0.48833333333333334,24,0.026211500887242334,-0.9433251437276627,3.1720603,-0.47222692,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45,0.8460000000000001,65,0.6274281914718233,-0.5979498008023686,0.2707751,0.67120737,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16020C,CLEAR STATIONERY BOX SET ,6,5.1,0.85,2,-2.181464086836573,-0.9100166849730901,10.418059,1.7363683,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16033,MINI HIGHLIGHTER PENS,840,100.80000000000001,0.12,4,-0.4989049893787023,-1.3991170714450547,5.1596937,0.3188011,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16043,POP ART PUSH DOWN RUBBER ,98,11.759999999999998,0.12,2,-1.4661719412458332,-1.5063623872021852,9.30177,0.7062133,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16045,POPART WOODEN PENCILS ASST,8900,380.0,0.043478260869565216,68,0.8514240952358656,-1.4028148944643073,1.460699,-1.2990154,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16046,TEATIME PEN CASE & PENS,64,54.4,0.85,13,-0.927863066709143,-0.7702965831136304,7.203251,1.391097,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16048,TEATIME ROUND PENCIL SHARPENER ,1436,186.72,0.13249999999999998,47,0.2628307615356668,-1.3011155627586988,2.530197,-1.0529269,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16049,TEATIME GEL PENS ASST,504,82.08,0.24,5,-0.6075935819045785,-1.2805083951258183,5.299635,0.35396403,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16052,TEATIME PUSH DOWN RUBBER,467,105.28999999999999,0.305,6,-0.5387682005732802,-1.194440238695566,5.237504,0.29375178,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16054,POPART RECT PENCIL SHARPENER ASST,1166,140.52,0.1290909090909091,33,0.082458605795212,-1.3296155019108924,2.9094374,-0.9248911,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16151A,FLOWERS HANDBAG blue and orange,49,61.25,1.25,3,-1.269781341673305,-0.5666730798274602,8.075374,2.0722787,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16156L,"WRAP, CAROUSEL",475,199.5,0.42,18,-0.1746926090571622,-1.019565205557089,4.3973055,0.05405753,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16156S,WRAP PINK FAIRY CAKES ,5800,2331.0,0.4168862275449102,167,1.3333639546633775,-0.8566392165433369,-1.9090354,-1.4178116,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16161G,WRAP BAD HAIR DAY,700,70.0,0.1,22,-0.25001506160081577,-1.4084399714644313,4.3660164,-0.23710197,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16161M,WRAP  PINK FLOCK,25,10.5,0.42,1,-1.862612162986936,-1.2055893566312899,9.7114,0.7981618,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16161P,WRAP ENGLISH ROSE ,7201,2980.42,0.41943548387096774,248,1.5189081592340523,-0.832319629120173,-2.6723385,-1.2513162,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16161U,WRAP SUKI AND FRIENDS,4075,1687.5,0.41955223880597015,134,1.1462517848227236,-0.8735671004633717,-1.4953711,-1.4958372,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16162L,THE KING GIFT BAG,17,11.05,0.65,6,-1.64537317495754,-0.9929793611447405,9.439315,1.3745925,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16162M,THE KING GIFT BAG 25x24x12cm,26,10.92,0.42,7,-1.522294603180853,-1.1713009183084053,9.454574,1.0142343,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,138.18,0.42000000000000004,20,-0.29830911553464967,-1.0344355544021941,4.6407456,-0.016607445,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16169E,WRAP 50'S  CHRISTMAS,4563,1892.46,0.41919999999999996,149,1.2168423335974259,-0.8658442876311748,-1.683713,-1.4819738,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16169K,WRAP FOLK ART,200,84.0,0.42,8,-0.6961839834711244,-1.0776387639579657,5.943357,0.58693385,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16169M,WRAP DAISY CARPET ,660,277.2,0.42,25,0.0308959569411226,-0.9966941117967925,3.2208295,-0.49359664,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16169N,WRAP BLUE RUSSIAN FOLKART,25,10.5,0.42,1,-1.862612162986936,-1.2055893566312899,9.745726,0.82690287,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16169P,WRAP GREEN RUSSIAN FOLKART ,50,21.0,0.42,2,-1.5017106903474493,-1.1665670992134745,9.255511,0.727888,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,0.5,2,-2.1965273299583465,-1.1699294452718143,10.505074,0.98657227,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16202B,PASTEL BLUE PHOTO ALBUM ,29,14.5,0.5,2,-1.683014382793288,-1.1156487907769868,9.573583,0.85033643,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16202E,BLACK PHOTO ALBUM ,15,7.5,0.5,3,-1.8623903787203815,-1.1359165493283567,9.908269,0.9804202,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16206B,RED PURSE WITH PINK HEART,7,8.75,1.25,2,-2.0792802107202113,-0.6623693706907762,10.369102,2.1055079,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16207A,PINK STRAWBERRY HANDBAG ,13,38.35000000000001,2.95,5,-1.5797781967109352,0.061665339628368177,9.264526,4.7242823,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16207B,PINK HEART RED HANDBAG,4,11.31,2.7866666666666666,3,-2.1126648557074437,-0.054633872975608795,10.7611885,4.65648,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16216,LETTER SHAPE PENCIL SHARPENER,3316,227.14,0.09463414634146342,41,0.4340122118925882,-1.363789725610146,1.9528521,-1.2099434,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16218,CARTOON  PENCIL SHARPENERS,3760,253.2,0.0732,50,0.528793349568206,-1.3760282931299415,1.8557004,-1.2149255,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16219,HOUSE SHAPE PENCIL SHARPENER,2915,309.9,0.09085106382978722,47,0.5083636491250542,-1.327415206672035,1.8951434,-1.2029064,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16225,RATTLE SNAKE EGGS,760,596.84,1.1866666666666668,75,0.4214048310171573,-0.4438463010825563,1.3427356,2.1596792,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16235,RECYCLED PENCIL WITH RABBIT ERASER,2629,518.1899999999999,0.21400000000000002,80,0.7093821409585246,-1.1456385080538352,1.3173281,-1.3099676,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16236,KITTY PENCIL ERASERS,1296,266.56,0.20931506849315068,73,0.41366657698201825,-1.1810602754975066,2.0826848,-1.0037531,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16237,SLEEPING CAT ERASERS,4595,885.45,0.2060843373493976,162,1.0939801383821435,-1.1119514239261736,-1.1103755,-1.651045,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16238,PARTY TIME PENCIL ERASERS,1259,265.09,0.2362820512820513,78,0.41974111785887624,-1.1551098576310799,1.9940188,-1.0215247,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,7.85,1.225,2,-2.0987822346130023,-0.6837692079492842,10.353205,2.0800247,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16248B,BLUE HOLE PUNCH,13,16.25,1.25,7,-1.6214379552831029,-0.6116593884433421,9.264801,1.8777869,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,27.91,1.0233333333333332,9,-1.2903452413294978,-0.7107337992500676,8.51031,1.6381739,0,Low Margin High Volume,"Flash sale, diskon bulk, fokus volume, kampanye massal"
